DriverNumber,TotalPitStops,AvgFinalPosition
1,27,2.357142857142857
2,27,16.666666666666668
3,23,12.307692307692308
4,26,4.4
10,27,12.333333333333334
11,31,6.0
14,29,9.8
16,29,4.571428571428571
18,30,11.285714285714286
20,27,13.571428571428571
22,25,12.142857142857142
23,29,13.166666666666666
24,32,15.76923076923077
27,28,11.0
31,28,13.285714285714286
38,1,7.0
44,28,5.5
55,26,4.3076923076923075
63,28,6.461538461538462
77,28,15.785714285714286
81,27,5.066666666666666
