Team,PitTimeSeconds,PitTimeMinutes
Alpine,6765.667999999997,112.76113333333328
Aston Martin,9337.235999999999,155.6206
Ferrari,9049.527000000002,150.82545000000002
Haas F1 Team,4466.013999999999,74.43356666666665
Kick Sauber,9413.510999999999,156.89184999999998
McLaren,8997.973000000002,149.9662166666667
Mercedes,9109.640999999996,151.82734999999994
RB,7413.368000000002,123.55613333333336
Red Bull Racing,6788.073999999995,113.13456666666659
Williams,7648.407999999998,127.47346666666662
