EventName,Team,Compound,LapCount,TotalLaps,LapProportion
Japanese Grand Prix,RB,MEDIUM,2,53,0.03773584905660377
Japanese Grand Prix,RB,SOFT,6,53,0.11320754716981132
Japanese Grand Prix,Red Bull Racing,HARD,39,53,0.7358490566037735
Japanese Grand Prix,Red Bull Racing,MEDIUM,67,53,1.2641509433962264
Japanese Grand Prix,Williams,HARD,33,53,0.6226415094339622
Japanese Grand Prix,Williams,MEDIUM,7,53,0.1320754716981132
Japanese Grand Prix,Williams,SOFT,13,53,0.24528301886792453
Miami Grand Prix,Alpine,HARD,80,57,1.4035087719298245
Miami Grand Prix,Alpine,MEDIUM,34,57,0.5964912280701754
Miami Grand Prix,Aston Martin,HARD,39,57,0.6842105263157895
Miami Grand Prix,Aston Martin,MEDIUM,75,57,1.3157894736842106
Miami Grand Prix,Ferrari,HARD,68,57,1.1929824561403508
Miami Grand Prix,Ferrari,MEDIUM,46,57,0.8070175438596491
Miami Grand Prix,Haas F1 Team,HARD,38,57,0.6666666666666666
Miami Grand Prix,Haas F1 Team,MEDIUM,76,57,1.3333333333333333
Miami Grand Prix,Kick Sauber,HARD,18,57,0.3157894736842105
Miami Grand Prix,Kick Sauber,MEDIUM,56,57,0.9824561403508771
Miami Grand Prix,Kick Sauber,SOFT,40,57,0.7017543859649122
Miami Grand Prix,McLaren,HARD,41,57,0.7192982456140351
Miami Grand Prix,McLaren,MEDIUM,73,57,1.280701754385965
Miami Grand Prix,Mercedes,HARD,59,57,1.0350877192982457
Miami Grand Prix,Mercedes,MEDIUM,55,57,0.9649122807017544
Miami Grand Prix,RB,HARD,57,57,1.0
Miami Grand Prix,RB,MEDIUM,57,57,1.0
Miami Grand Prix,Red Bull Racing,HARD,45,57,0.7894736842105263
Miami Grand Prix,Red Bull Racing,MEDIUM,69,57,1.2105263157894737
Miami Grand Prix,Williams,HARD,60,57,1.0526315789473684
Miami Grand Prix,Williams,MEDIUM,21,57,0.3684210526315789
Miami Grand Prix,Williams,SOFT,4,57,0.07017543859649122
Monaco Grand Prix,Alpine,HARD,2,78,0.02564102564102564
Monaco Grand Prix,Alpine,MEDIUM,76,78,0.9743589743589743
Monaco Grand Prix,Aston Martin,HARD,8,78,0.10256410256410256
Monaco Grand Prix,Aston Martin,MEDIUM,116,78,1.4871794871794872
Monaco Grand Prix,Aston Martin,SOFT,28,78,0.358974358974359
Monaco Grand Prix,Ferrari,HARD,154,78,1.9743589743589745
Monaco Grand Prix,Ferrari,MEDIUM,2,78,0.02564102564102564
Monaco Grand Prix,Haas F1 Team,HARD,1,78,0.01282051282051282
